Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Milton,CATR,Cast Aluminum - Transmissions,ALUMINUM,NON_FERROUS,1316,0,1316,394.8000,0,394.8000,0.3000
Merrillville,DALRS,Dirty Aluminum Rims,ALUMINUM,NON_FERROUS,9,0,9,3.6000,0,3.6000,0.4000
Milton,DALRS,Dirty Aluminum Rims,ALUMINUM,NON_FERROUS,819,0,819,335.5141,0,335.5141,0.4097
Milton,BOTTAL,FURNACE BOTTOMS - ALUMINUM,ALUMINUM,NON_FERROUS,3824,0,3824,542.2000,0,542.2000,0.1418
Merrillville,InsECW,INSULATED EC WIRE,ALUMINUM,NON_FERROUS,131,0,131,39.4920,0,39.4920,0.3015
Milton,InsECW,INSULATED EC WIRE,ALUMINUM,NON_FERROUS,115,1725,1840,41.7500,603.7500,645.5000,0.3508
Merrillville,AL063FE,IRONY EXTRUSIONS,ALUMINUM,NON_FERROUS,1595,0,1595,953.2797,0,953.2797,0.5977
Milton,AL063FE,IRONY EXTRUSIONS,ALUMINUM,NON_FERROUS,0,1691,1691,0,417.9666,417.9666,0.2472
Milton,MXDAL,MIXED ALUMINUM,ALUMINUM,NON_FERROUS,18,0,18,7.2000,0,7.2000,0.4000
Milton,MXBRAL,MIXED BRASS ALUM SPILLS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,OLYFLA,OILY FLASHINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,OLCAAL,OLD CAST AL,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,OLCAAL,OLD CAST AL,ALUMINUM,NON_FERROUS,2,0,2,0.5000,0,0.5000,0.2500
Merrillville,OCAL5,OLD CAST AL 5% FE,ALUMINUM,NON_FERROUS,663,0,663,232.0500,0,232.0500,0.3500
Milton,OCAL5,OLD CAST AL 5% FE,ALUMINUM,NON_FERROUS,2097,0,2097,733.9500,0,733.9500,0.3500
Milton,PTD5052,PTD 5052 ALUMINUM,ALUMINUM,NON_FERROUS,9,0,9,13.5000,0,13.5000,1.5000
